From,To,Points
Albania,Portugal,8
Armenia,France,8
Australia,Denmark,8
Austria,Belgium,8
Azerbaijan,Portugal,8
Belarus,Hungary,8
Belgium,Bulgaria,8
Bulgaria,Romania,8
Croatia,Bulgaria,8
Cyprus,Italy,8
Czech.Republic,Portugal,8
Denmark,Moldova,8
Estonia,Hungary,8
Finland,Italy,8
France,Belgium,8
FYR.Macedonia,Italy,8
Georgia,Portugal,8
Germany,Croatia,8
Greece,Portugal,8
Hungary,Belgium,8
Iceland,Sweden,8
Ireland,Moldova,8
Israel,Italy,8
Italy,Bulgaria,8
Latvia,Moldova,8
Lithuania,Moldova,8
Malta,Portugal,8
Moldova,Bulgaria,8
Montenegro,Portugal,8
Netherlands,Bulgaria,8
Norway,Bulgaria,8
Poland,Bulgaria,8
Portugal,Bulgaria,8
Romania,Bulgaria,8
San.Marino,Moldova,8
Serbia,Portugal,8
Slovenia,Portugal,8
Spain,Italy,8
Sweden,Moldova,8
Switzerland,Croatia,8
Ukraine,Belarus,8
United.Kingdom,Portugal,8
Albania,Bulgaria,10
Armenia,Portugal,10
Australia,Romania,10
Austria,Romania,10
Azerbaijan,Moldova,10
Belarus,Moldova,10
Belgium,Netherlands,10
Bulgaria,Moldova,10
Croatia,Portugal,10
Cyprus,Bulgaria,10
Czech.Republic,Azerbaijan,10
Denmark,Bulgaria,10
Estonia,Portugal,10
Finland,Belgium,10
France,Romania,10
FYR.Macedonia,Croatia,10
Georgia,Armenia,10
Germany,Belgium,10
Greece,Bulgaria,10
Hungary,Moldova,10
Iceland,Belgium,10
Ireland,Portugal,10
Israel,Bulgaria,10
Italy,Romania,10
Latvia,Portugal,10
Lithuania,Belgium,10
Malta,Bulgaria,10
Moldova,Azerbaijan,10
Montenegro,Italy,10
Netherlands,Belgium,10
Norway,Romania,10
Poland,Portugal,10
Portugal,Belgium,10
Romania,Hungary,10
San.Marino,Italy,10
Serbia,Bulgaria,10
Slovenia,Italy,10
Spain,Bulgaria,10
Sweden,Portugal,10
Switzerland,Italy,10
Ukraine,Portugal,10
United.Kingdom,Poland,10
Albania,Italy,12
Armenia,Cyprus,12
Australia,Moldova,12
Austria,Portugal,12
Azerbaijan,Bulgaria,12
Belarus,Bulgaria,12
Belgium,Portugal,12
Bulgaria,France,12
Croatia,Hungary,12
Cyprus,Greece,12
Czech.Republic,Bulgaria,12
Denmark,Sweden,12
Estonia,Belgium,12
Finland,Portugal,12
France,Portugal,12
FYR.Macedonia,Bulgaria,12
Georgia,Azerbaijan,12
Germany,Portugal,12
Greece,Cyprus,12
Hungary,Bulgaria,12
Iceland,Portugal,12
Ireland,Romania,12
Israel,Portugal,12
Italy,Moldova,12
Latvia,Belgium,12
Lithuania,Portugal,12
Malta,Italy,12
Moldova,Romania,12
Montenegro,Croatia,12
Netherlands,Portugal,12
Norway,Portugal,12
Poland,Belgium,12
Portugal,Moldova,12
Romania,Moldova,12
San.Marino,Bulgaria,12
Serbia,Hungary,12
Slovenia,Croatia,12
Spain,Portugal,12
Sweden,Belgium,12
Switzerland,Portugal,12
Ukraine,Moldova,12
United.Kingdom,Bulgaria,12